code,name,best_ma,h_floor
600002,齐鲁石化,55,10.03
600000,浦发银行,180,11.6
600008,首创环保,250,3.14
600007,中国国贸,140,19.87
600004,白云机场,35,9.6
600011,华能国际,130,7.38
600010,包钢股份,230,2.37
600012,皖通高速,150,14.44
600009,上海机场,30,31.73
600006,东风股份,30,6.91
600005,武钢股份,190,2.92
600001,邯郸钢铁,45,5.62
600015,华夏银行,190,6.74
600017,日照港,220,3.02
600016,民生银行,195,3.87
600023,浙能电力,45,5.15
600021,上海电力,240,20.14
600020,中原高速,225,4.06
600022,山东钢铁,175,1.51
600018,上港集团,95,5.51
600019,宝钢股份,250,7.16
600026,中远海能,225,11.61
600028,中国石化,200,5.94
600025,华能水电,60,9.13
600027,华电国际,35,5.21
600029,南方航空,85,5.74
600030,中信证券,250,28.18
600031,三一重工,195,20.65
600032,浙江新能,210,7.27
600033,福建高速,120,3.76
600035,楚天高速,30,4.01
600038,中直股份,35,36.0
600039,四川路桥,230,9.91
600036,招商银行,160,39.72
600037,歌华有线,55,7.46
600053,九鼎投资,120,18.79
600054,黄山旅游,65,11.28
600048,保利发展,225,6.22
600050,中国联通,240,5.42
600052,东望时代,40,4.74
600051,宁波联合,220,7.56
600056,中国医药,30,10.61
600055,万东医疗,170,15.92
600057,厦门象屿,250,8.32
600059,古越龙山,190,9.09
600058,五矿发展,175,9.15
600060,海信视像,235,24.22
600061,国投资本,245,7.56
600062,华润双鹤,35,18.55
600063,皖维高新,225,5.9
600067,冠城新材,210,4.13
600064,南京高科,250,8.38
600068,葛洲坝,250,7.05
600066,宇通客车,235,32.08
600072,中船科技,205,12.06
600073,光明肉业,250,6.68
600071,凤凰光学,160,21.06
600076,康欣新材,165,3.59
600078,澄星股份,230,9.96
600075,新疆天业,235,4.72
600080,金花股份,205,7.81
600084,中信尼雅,30,5.67
600081,东风科技,175,11.84
600085,同仁堂,245,33.38
600088,中视传媒,90,16.47
600089,特变电工,165,27.54
600096,云天化,245,30.47
600094,大名城,240,4.22
600099,林海股份,245,10.4
600101,明星电力,165,9.17
600100,同方股份,215,8.8
600097,开创国际,185,11.84
600095,湘财股份,210,11.22
600098,广州发展,220,6.77
600102,莱钢股份,135,7.11
600105,永鼎股份,160,26.92
600104,上汽集团,85,14.01
600103,青山纸业,145,3.69
600106,重庆路桥,30,6.27
600109,国金证券,150,9.13
600108,亚盛集团,205,3.1
600110,诺德股份,245,7.38
600113,浙江东日,250,46.23
600114,东睦股份,245,29.67
600116,三峡水利,190,6.45
600117,西宁特钢,145,2.87
600111,北方稀土,200,46.84
600115,中国东航,70,5.21
600118,中国卫星,235,42.01
600120,浙江东方,220,6.63
600121,郑州煤电,245,4.47
600119,长江投资,45,7.98
600123,兰花科创,205,5.93
600125,铁龙物流,35,6.44
600126,杭钢股份,240,9.02
600127,金健米业,35,6.84
600128,苏豪弘业,200,10.9
600131,国网信通,85,18.28
600132,重庆啤酒,200,52.76
600129,太极集团,205,16.75
600135,乐凯胶片,200,7.67
600138,中青旅,245,9.69
600133,东湖高新,30,8.86
600137,浪莎股份,225,19.69
600141,兴发集团,230,32.04
600143,金发科技,245,16.98
600149,廊坊发展,245,5.2
600150,中国船舶,105,34.3
600151,航天机电,250,8.58
600148,长春一东,250,19.75
600152,维科技术,230,6.69
600153,建发股份,205,9.14
600157,永泰能源,155,1.62
600156,华升股份,225,8.68
